Vendor_ID,Bill_No,Bill_Amount,Outstanding,Due_Days
VEND1793,BILL0000001,156376,123680,95
VEND5388,BILL0000002,164723,160764,101
VEND2398,BILL0000003,52749,42525,79
VEND8772,BILL0000004,202969,108300,135
VEND7679,BILL0000005,225046,213049,26
VEND3672,BILL0000006,136804,26606,82
VEND4175,BILL0000007,40946,16200,41
VEND8321,BILL0000008,31837,883,101
VEND4416,BILL0000009,215056,197535,32
VEND7858,BILL0000010,226062,98517,87
VEND8922,BILL0000011,7639,3185,107
VEND1163,BILL0000012,36167,32330,23
VEND9689,BILL0000013,96993,67436,83
VEND6480,BILL0000014,191760,81857,87
VEND9178,BILL0000015,67730,4900,71
VEND3269,BILL0000016,86427,4926,40
VEND8953,BILL0000017,35786,10962,45
VEND7123,BILL0000018,240636,40578,26
VEND6343,BILL0000019,85091,35554,39
VEND5046,BILL0000020,122810,73102,80
VEND8041,BILL0000021,215478,191676,126
VEND9903,BILL0000022,17401,9983,102
VEND4435,BILL0000023,180280,16593,57
VEND8726,BILL0000024,133471,17680,25
VEND8766,BILL0000025,7630,4949,160
VEND2438,BILL0000026,155968,61572,111
VEND4365,BILL0000027,163323,120968,127
VEND7468,BILL0000028,198812,137098,90
VEND9028,BILL0000029,167619,69488,17
VEND3173,BILL0000030,155899,54229,4
VEND4275,BILL0000031,174687,46055,157
VEND7945,BILL0000032,25563,178,11
VEND1347,BILL0000033,190660,167358,165
VEND8245,BILL0000034,94444,18960,105
VEND2043,BILL0000035,188420,89532,18
VEND7862,BILL0000036,224123,8279,54
VEND5985,BILL0000037,213091,119592,3
VEND3979,BILL0000038,131058,48456,158
VEND6635,BILL0000039,31428,7164,17
VEND8722,BILL0000040,77678,9897,152
VEND6708,BILL0000041,224328,10457,120
VEND1192,BILL0000042,173068,22271,99
VEND2603,BILL0000043,70467,26479,46
VEND3619,BILL0000044,158556,152986,54
VEND9367,BILL0000045,249174,4917,176
VEND8387,BILL0000046,57202,35570,126
VEND2759,BILL0000047,186452,74717,128
VEND5851,BILL0000048,199079,96155,142
VEND3404,BILL0000049,214864,144018,61
VEND5896,BILL0000050,228827,52958,178
VEND6592,BILL0000051,126393,93245,11
VEND7127,BILL0000052,109860,12126,43
VEND9807,BILL0000053,183806,32278,107
VEND8723,BILL0000054,167108,79952,115
VEND7687,BILL0000055,69801,63463,147
VEND4663,BILL0000056,192021,97070,157
VEND1307,BILL0000057,113531,1945,69
VEND9833,BILL0000058,160691,148018,147
VEND2244,BILL0000059,141041,138058,43
VEND6228,BILL0000060,5798,5742,174
VEND9781,BILL0000061,54877,741,74
VEND4798,BILL0000062,204696,163987,143
VEND7109,BILL0000063,188913,110124,82
VEND4403,BILL0000064,48804,7143,113
VEND1923,BILL0000065,228534,74250,125
VEND9830,BILL0000066,21513,12632,62
VEND6251,BILL0000067,64197,6073,174
VEND4563,BILL0000068,218426,138236,9
VEND6764,BILL0000069,197542,101846,118
VEND6022,BILL0000070,194190,83956,64
