Invoice_No,Customer_ID,Invoice_Amount,Outstanding_Amount,Due_Days
INV0000001,CUST9328,265838,32653,72
INV0000002,CUST5350,87312,72458,100
INV0000003,CUST7242,193329,134317,104
INV0000004,CUST9629,200321,50375,115
INV0000005,CUST9213,296942,296009,145
INV0000006,CUST9573,248710,57257,163
INV0000007,CUST3624,190336,142048,74
INV0000008,CUST3182,96315,26235,169
INV0000009,CUST6607,226518,29994,157
INV0000010,CUST3426,290574,168036,152
INV0000011,CUST6322,256620,85649,30
INV0000012,CUST5593,55680,54112,138
INV0000013,CUST4113,236196,172805,67
INV0000014,CUST1509,184499,119961,77
INV0000015,CUST5133,149274,105945,73
INV0000016,CUST1735,163699,55916,179
INV0000017,CUST4908,158364,19868,47
INV0000018,CUST3952,42785,20195,4
INV0000019,CUST9417,290346,57934,0
INV0000020,CUST5365,120682,120341,162
INV0000021,CUST7219,70996,20750,108
INV0000022,CUST2924,57233,39931,71
INV0000023,CUST7719,28614,6717,41
INV0000024,CUST5589,46546,30031,20
INV0000025,CUST5819,104330,58528,83
INV0000026,CUST4837,133670,18822,37
INV0000027,CUST7661,202777,149629,79
INV0000028,CUST7955,108189,71349,109
INV0000029,CUST6194,178784,70280,49
INV0000030,CUST6641,290771,41198,49
INV0000031,CUST4622,24875,11536,118
INV0000032,CUST9065,256942,29259,82
INV0000033,CUST9381,241906,94259,66
INV0000034,CUST1062,94808,48734,75
INV0000035,CUST7128,196782,146417,128
INV0000036,CUST6636,109623,44207,57
INV0000037,CUST6166,249216,100388,179
INV0000038,CUST4566,133294,26822,4
INV0000039,CUST1355,120695,108161,148
INV0000040,CUST4829,192807,36148,130
INV0000041,CUST6037,256200,228200,134
INV0000042,CUST1729,69276,56244,170
INV0000043,CUST3516,266683,241434,156
INV0000044,CUST3903,270420,70891,47
INV0000045,CUST2297,154399,89306,117
INV0000046,CUST2704,174310,26295,159
INV0000047,CUST5054,68717,6580,37
INV0000048,CUST1652,146445,8010,83
INV0000049,CUST6248,17904,11546,152
INV0000050,CUST6341,212900,4550,88
INV0000051,CUST4579,146602,144683,18
INV0000052,CUST7250,87383,51801,129
INV0000053,CUST5675,226994,199345,10
INV0000054,CUST9256,285696,2300,69
INV0000055,CUST2536,27256,1166,60
INV0000056,CUST6454,226023,206652,175
INV0000057,CUST3647,254691,52885,17
INV0000058,CUST4118,145843,26159,67
INV0000059,CUST7657,74503,40867,155
INV0000060,CUST5540,136859,106512,124
INV0000061,CUST5977,242099,149406,89
INV0000062,CUST1449,93246,1801,152
INV0000063,CUST7383,122277,22698,55
INV0000064,CUST1623,168890,122563,174
INV0000065,CUST6771,25476,15640,162
INV0000066,CUST3387,173654,160961,121
INV0000067,CUST1961,141251,38839,156
INV0000068,CUST6431,136811,6541,111
INV0000069,CUST2081,238801,53852,145
INV0000070,CUST1824,284758,214534,34
INV0000071,CUST6676,58286,5528,118
INV0000072,CUST4751,91620,48783,46
INV0000073,CUST6852,213863,31930,14
INV0000074,CUST7194,60213,28056,154
INV0000075,CUST5278,124570,107321,108
INV0000076,CUST2083,109622,42003,149
INV0000077,CUST3806,42881,3092,87
INV0000078,CUST4496,104646,14317,65
INV0000079,CUST1805,90443,55181,67
INV0000080,CUST7441,212822,21127,18
INV0000081,CUST3986,261612,188158,93
INV0000082,CUST8682,77113,34506,137
INV0000083,CUST1787,268606,189858,93
INV0000084,CUST1995,79872,17478,176
INV0000085,CUST2122,74081,50590,156
INV0000086,CUST7494,82291,62499,175
INV0000087,CUST1228,3845,281,62
INV0000088,CUST4645,225672,145978,21
INV0000089,CUST1593,87817,38520,70
INV0000090,CUST5158,77104,31753,75
INV0000091,CUST5501,198798,75476,125
INV0000092,CUST9894,167661,109629,154
INV0000093,CUST3434,26932,23778,69
INV0000094,CUST3355,57114,49939,103
INV0000095,CUST3455,138223,22332,117
INV0000096,CUST6679,97205,85145,129
INV0000097,CUST9052,272999,188176,92
INV0000098,CUST1549,134818,82765,149
INV0000099,CUST4949,178744,155027,61
INV0000100,CUST7303,150594,69769,120
INV0000101,CUST9459,151566,103223,110
INV0000102,CUST1943,78552,3989,96
INV0000103,CUST3605,160891,132758,34
INV0000104,CUST1868,80383,77297,34
INV0000105,CUST2597,259031,31196,70
INV0000106,CUST5043,190685,45451,162
INV0000107,CUST5513,95224,87642,13
INV0000108,CUST4602,285447,238367,20
INV0000109,CUST1664,132407,61112,23
INV0000110,CUST4967,234275,163765,112
