Employee_ID,Department,Expense_Type,Amount,Status
E3819,Finance,Training,19234,Rejected
E8998,Operations,Travel,12886,Approved
E7668,Sales,Internet,18317,Approved
E1068,Finance,Meals,15219,Rejected
E4464,Sales,Meals,17711,Pending
E3649,Operations,Meals,4936,Pending
E6817,Finance,Training,34602,Pending
E7897,IT,Internet,49118,Rejected
E7401,Operations,Training,13493,Pending
E6473,Operations,Meals,31459,Pending
E4351,Finance,Meals,15043,Rejected
E6539,IT,Training,42452,Rejected
E8353,HR,Training,26183,Rejected
E1091,Sales,Training,14703,Approved
E7419,HR,Meals,23994,Pending
E1451,Sales,Meals,27528,Pending
E3240,Operations,Training,42271,Rejected
E2788,IT,Training,11046,Pending
E9142,HR,Travel,31796,Rejected
E3450,IT,Meals,3487,Pending
E1639,HR,Internet,18172,Rejected
E6939,Operations,Meals,22816,Approved
E4344,HR,Travel,14187,Rejected
E6367,IT,Travel,47042,Approved
E4135,Sales,Meals,27583,Approved
E2086,Operations,Travel,38393,Approved
E1726,Operations,Internet,9936,Pending
E7207,IT,Meals,14536,Rejected
E8255,IT,Training,42613,Approved
E9876,Finance,Travel,7175,Approved
E6699,HR,Travel,41617,Approved
E9654,Sales,Travel,30964,Rejected
E5954,Finance,Internet,28414,Pending
E2791,HR,Travel,48270,Approved
E3402,HR,Internet,40332,Pending
E6819,Sales,Training,6012,Pending
E3950,Sales,Travel,3735,Approved
E1776,IT,Travel,14687,Pending
E6984,Sales,Travel,36872,Pending
E6889,Operations,Training,18711,Rejected
E5378,Operations,Internet,15914,Rejected
E1502,Finance,Travel,47824,Pending
E2576,Finance,Travel,18426,Approved
E3962,HR,Travel,49913,Rejected
E2771,Sales,Training,10400,Rejected
E2598,IT,Travel,46001,Pending
E6856,IT,Internet,4495,Pending
E8393,Sales,Training,6647,Approved
E3008,Finance,Travel,35096,Approved
E4705,Sales,Meals,41389,Approved
E3211,Operations,Internet,14817,Approved
E9556,IT,Internet,16403,Pending
E1255,IT,Internet,39372,Approved
E8898,IT,Training,20942,Pending
E6004,IT,Training,7455,Pending
E6912,Operations,Training,21486,Pending
E5245,Sales,Travel,45808,Pending
E9387,Operations,Meals,25280,Pending
E3847,HR,Meals,598,Approved
E6866,HR,Training,12685,Approved
E7524,Operations,Internet,45571,Rejected
E7061,IT,Training,12250,Rejected
E3202,Sales,Internet,26824,Pending
E5317,Finance,Travel,35958,Rejected
E2079,HR,Travel,35098,Approved
E4573,IT,Training,28194,Approved
E3894,IT,Meals,9915,Rejected
E8862,Sales,Meals,45545,Approved
E8589,Sales,Training,7139,Approved
E5823,Operations,Meals,41923,Approved
E6319,Finance,Travel,39107,Rejected
E4618,Sales,Travel,9839,Rejected
E8571,IT,Internet,32680,Rejected
E9588,Finance,Meals,13779,Pending
E1550,HR,Travel,33198,Approved
E2164,Operations,Travel,45843,Approved
E2478,Operations,Internet,45112,Pending
E2415,Finance,Travel,39446,Rejected
E5857,Finance,Training,1205,Pending
E4489,Finance,Internet,29954,Approved
E7764,Operations,Internet,18139,Pending
E4725,Sales,Travel,11690,Pending
E3375,IT,Travel,32023,Approved
E5090,Sales,Internet,3864,Approved
E7395,Finance,Internet,42986,Approved
E8332,IT,Travel,24797,Pending
E2606,HR,Travel,1151,Approved
E2461,IT,Travel,44889,Pending
E6204,Sales,Training,28950,Rejected
E2035,Operations,Training,31552,Rejected
E1824,Finance,Training,13237,Pending
E7373,Sales,Training,34912,Pending
E6593,Operations,Training,40708,Pending
E8435,Finance,Meals,1170,Pending
E3954,Finance,Training,12867,Pending
E7332,Finance,Meals,3112,Rejected
E6992,HR,Internet,5011,Pending
E4393,Operations,Travel,33273,Pending
E7548,Sales,Meals,21668,Approved
E2052,Sales,Internet,40086,Pending
E4101,Operations,Internet,1084,Approved
E4479,IT,Travel,8922,Approved
E6566,IT,Meals,3872,Pending
E5605,IT,Travel,46411,Approved
E7806,HR,Travel,35663,Approved
E3427,Finance,Meals,6695,Approved
E9211,Finance,Meals,31969,Pending
E1757,HR,Internet,19959,Approved
E3654,Finance,Travel,30926,Approved
E7033,IT,Travel,34996,Approved
E4009,IT,Travel,2867,Approved
E2457,Sales,Travel,3501,Pending
E6020,HR,Meals,37455,Pending
E3472,Finance,Meals,13099,Rejected
E3128,Sales,Travel,40277,Pending
E9468,Finance,Training,11461,Pending
E1907,Finance,Internet,6825,Pending
E6097,Sales,Internet,11547,Approved
E2883,Sales,Travel,27634,Approved
E6931,Sales,Meals,38434,Approved
E2285,Operations,Training,19324,Rejected
E5352,IT,Internet,27979,Approved
E6070,Sales,Meals,32519,Pending
E8843,Operations,Meals,43470,Approved
E7301,HR,Internet,39290,Pending
E1713,Operations,Training,49272,Approved
E4110,Finance,Training,5804,Rejected
E6095,Finance,Training,5946,Rejected
E1624,Operations,Training,7472,Rejected
E4314,Finance,Internet,43957,Approved
E3189,Operations,Training,34182,Rejected
E5626,Operations,Meals,21776,Rejected
E2216,Finance,Meals,19392,Rejected
E9523,IT,Training,26355,Approved
E7112,Operations,Meals,40939,Approved
E2730,Operations,Travel,30285,Pending
E4830,IT,Training,8124,Pending
E3703,Sales,Internet,34941,Rejected
E7917,HR,Internet,19885,Pending
E6797,HR,Meals,21550,Rejected
E8751,Finance,Internet,16269,Pending
E5656,Sales,Internet,17151,Rejected
E7702,Operations,Training,4425,Approved
E2065,Finance,Travel,7987,Rejected
E8534,Finance,Internet,12391,Approved
E9413,HR,Training,8120,Approved
E3171,IT,Training,45739,Rejected
E9724,Finance,Meals,29852,Rejected
E4911,Sales,Travel,12192,Pending
E1425,HR,Travel,45582,Approved
E3757,Sales,Meals,20398,Rejected
E4831,Sales,Internet,33001,Rejected
E2232,IT,Internet,24899,Rejected
E3564,Sales,Travel,49400,Approved
E1293,HR,Internet,45997,Approved
E6297,HR,Internet,15767,Rejected
E4573,Operations,Internet,22049,Pending
E3890,HR,Training,40075,Pending
E6884,HR,Travel,35100,Approved
E2030,Operations,Travel,42654,Rejected
E1362,Operations,Travel,38828,Rejected
E1756,Sales,Internet,39386,Rejected
E4075,HR,Travel,5495,Pending
E4728,Operations,Meals,42667,Rejected
E2937,Sales,Training,16030,Approved
E5789,Sales,Meals,6490,Pending
E4016,Operations,Meals,16333,Approved
E2129,Sales,Internet,30290,Approved
E5885,Finance,Training,27138,Pending
E6865,Sales,Meals,47476,Pending
E8638,Sales,Training,48151,Pending
E8240,Finance,Meals,30238,Pending
E7032,Operations,Training,31756,Pending
E6005,IT,Internet,34255,Rejected
E5278,Sales,Training,5402,Approved
E1725,Sales,Internet,27377,Pending
E1853,Sales,Training,40138,Approved
E1623,Finance,Meals,5163,Pending
E8390,IT,Internet,7253,Pending
E3791,Operations,Internet,29504,Approved
E1329,Sales,Internet,17408,Approved
E3740,Sales,Internet,27629,Pending
E9091,Operations,Travel,7184,Pending
E7535,Sales,Training,13153,Pending
E3499,Finance,Travel,2315,Rejected
E8122,HR,Internet,28716,Approved
E6955,Sales,Meals,8596,Rejected
E2784,Sales,Travel,42049,Rejected
E1903,Sales,Internet,40655,Pending
E9390,Finance,Internet,7193,Rejected
E9563,HR,Training,29403,Pending
E1988,HR,Internet,42950,Approved
E1746,IT,Meals,21394,Pending
E8393,HR,Travel,25944,Pending
E6381,Operations,Training,35071,Approved
E1934,HR,Internet,16725,Rejected
E8144,Operations,Internet,34211,Rejected
E3261,HR,Training,10194,Approved
E6096,Operations,Internet,6661,Pending
E5562,IT,Travel,16421,Pending
E3073,HR,Training,732,Pending
E9754,IT,Meals,27475,Approved
E2523,Finance,Internet,7019,Approved
E2146,Sales,Training,37484,Pending
E3402,Sales,Training,47467,Pending
E3679,HR,Internet,33526,Approved
E2044,Sales,Meals,33512,Approved
E7198,Finance,Training,20329,Approved
E6481,Finance,Meals,7280,Rejected
E2579,Sales,Internet,25474,Approved
E6552,Sales,Training,39963,Pending
E9868,HR,Travel,37872,Pending
E1712,Sales,Travel,31004,Rejected
E6068,Finance,Internet,37388,Rejected
E3465,Finance,Travel,47214,Rejected
E8082,Sales,Training,18313,Approved
E2777,IT,Meals,35560,Approved
E6536,Finance,Meals,16235,Approved
E4892,Sales,Internet,7593,Approved
E6886,Finance,Travel,20908,Approved
E6319,IT,Meals,35273,Rejected
E5158,Sales,Training,31797,Pending
E8021,Sales,Travel,6155,Pending
E9402,Operations,Internet,23564,Rejected
E8978,HR,Training,37470,Rejected
E8899,Operations,Meals,26448,Pending
E2199,Operations,Travel,1694,Rejected
E2014,Sales,Internet,18377,Approved
E6741,HR,Internet,25399,Pending
E8663,Operations,Training,15555,Approved
E6349,IT,Training,39864,Pending
E5445,Operations,Meals,26658,Approved
E8861,IT,Training,47913,Rejected
E7667,Finance,Meals,31113,Pending
E9107,Sales,Travel,5523,Rejected
E5644,IT,Meals,15589,Pending
E2355,Finance,Meals,4494,Rejected
E3916,IT,Travel,47696,Pending
E6597,Sales,Training,28904,Pending
E1172,HR,Travel,11861,Rejected
E8182,Sales,Internet,14697,Rejected
E5936,IT,Internet,43013,Approved
E4165,Operations,Internet,6936,Rejected
E7172,Operations,Travel,28342,Rejected
E3549,HR,Internet,2998,Rejected
E4388,Operations,Travel,2584,Rejected
E1042,Sales,Internet,38587,Pending
E3305,IT,Travel,14566,Rejected
E2436,Finance,Training,31221,Rejected
E4725,Finance,Meals,1509,Pending
E2692,Finance,Training,13236,Pending
E7111,Operations,Training,47566,Approved
E4365,IT,Meals,41232,Pending
E4071,IT,Training,33014,Pending
E3072,Finance,Travel,4364,Rejected
E4369,HR,Travel,42462,Approved
E7583,Finance,Meals,48117,Approved
E3320,HR,Training,49144,Pending
E1293,Operations,Meals,21446,Approved
E8488,Operations,Internet,27321,Rejected
E7836,Sales,Internet,11399,Rejected
E9463,Sales,Training,18322,Approved
E2649,Finance,Travel,5381,Pending
E2198,Finance,Travel,19356,Pending
E6149,Sales,Training,10978,Approved
E5011,Finance,Travel,2543,Rejected
E2192,Sales,Internet,40128,Approved
E7180,HR,Internet,35438,Rejected
E5616,Operations,Travel,48549,Rejected
E2930,Sales,Travel,33990,Rejected
E9281,IT,Travel,8585,Approved
E6222,Operations,Internet,14177,Pending
E7129,Operations,Meals,9114,Rejected
E7041,Operations,Meals,13072,Approved
E2810,Finance,Training,16416,Rejected
E9097,IT,Meals,10544,Rejected
E1703,Sales,Travel,46915,Approved
E3548,Finance,Meals,28232,Pending
E6438,Sales,Training,6250,Approved
E7151,IT,Meals,33008,Approved
E8059,IT,Travel,6477,Approved
E2449,Operations,Training,33845,Approved
E1344,Operations,Meals,45146,Rejected
E7292,Operations,Meals,8063,Approved
E5096,IT,Internet,8555,Rejected
E1256,Finance,Training,5145,Pending
E4758,Operations,Travel,3186,Pending
E6202,IT,Internet,36931,Pending
E7764,Operations,Travel,6218,Pending
E8968,Operations,Travel,35662,Pending
E1729,Operations,Internet,32868,Rejected
E3758,Finance,Internet,12555,Rejected
E8743,IT,Internet,35014,Approved
E8956,Sales,Meals,41856,Approved
E9344,HR,Meals,21193,Pending
E8213,Finance,Travel,27082,Pending
E8478,Operations,Meals,11544,Pending
E4422,IT,Training,8337,Approved
E9413,Operations,Training,46685,Pending
E6599,IT,Training,5391,Rejected
E3207,HR,Internet,42389,Rejected
E7804,Finance,Meals,44995,Approved
E2625,IT,Internet,4090,Rejected
E9091,Finance,Training,4627,Approved
E6322,HR,Training,13165,Pending
E8234,HR,Training,26535,Pending
E5313,Sales,Travel,21990,Pending
E2102,Sales,Internet,16168,Pending
E4694,Sales,Internet,42542,Approved
E6839,Finance,Training,30752,Rejected
E9470,Operations,Internet,14617,Approved
E3369,HR,Internet,39801,Rejected
E8864,HR,Travel,4264,Rejected
E1465,Sales,Meals,28653,Pending
E8468,Finance,Travel,44602,Rejected
E3141,HR,Internet,40282,Approved
E8008,Operations,Meals,33570,Pending
E1390,HR,Internet,22819,Approved
E8274,Operations,Training,20262,Rejected
E3554,IT,Meals,2636,Approved
E7806,Sales,Training,26024,Pending
E9476,HR,Meals,26391,Approved
E7831,IT,Meals,29330,Approved
E2425,Operations,Meals,42740,Pending
E6463,Operations,Travel,26731,Rejected
E5418,IT,Meals,28427,Pending
E3233,IT,Meals,41170,Approved
E1504,Operations,Travel,45465,Pending
E4973,Finance,Training,27164,Pending
E7793,Operations,Travel,49464,Approved
E4575,Sales,Training,19260,Approved
E4223,HR,Internet,6935,Pending
E6603,Sales,Travel,13998,Approved
E5087,Finance,Internet,24310,Approved
E8888,Finance,Meals,41532,Pending
E2895,HR,Training,6189,Rejected
E4001,Operations,Training,28090,Pending
E2917,Finance,Travel,20055,Approved
E1297,Finance,Travel,20992,Pending
E9473,Finance,Travel,8115,Rejected
E7810,Operations,Training,19642,Pending
E2267,Finance,Travel,33339,Approved
E5537,Operations,Meals,44368,Approved
E9218,Sales,Travel,19883,Pending
E6372,Operations,Travel,6854,Pending
E9017,Sales,Internet,33727,Rejected
E3117,HR,Travel,2908,Approved
E4600,Sales,Internet,1716,Rejected
E5404,Sales,Meals,48297,Approved
E7451,Operations,Meals,41350,Pending
E2982,Sales,Training,19917,Rejected
E9837,Operations,Travel,47074,Approved
E4758,Sales,Internet,44049,Pending
E2235,IT,Training,32170,Approved
E1973,IT,Internet,11022,Approved
E1727,Operations,Meals,7580,Approved
E5382,HR,Internet,20059,Rejected
E6561,Finance,Meals,33321,Rejected
E2206,Finance,Training,12555,Approved
E7318,IT,Training,35224,Rejected
E5325,Finance,Meals,25351,Approved
E3443,Operations,Internet,31138,Pending
E1850,HR,Meals,2310,Approved
E1297,HR,Internet,34843,Pending
E9140,Operations,Travel,20064,Approved
E4703,Operations,Travel,25506,Rejected
E6099,Operations,Meals,48199,Pending
E2133,Operations,Training,49881,Pending
E7585,Sales,Travel,17499,Approved
E7769,Finance,Meals,34422,Pending
E9912,Finance,Internet,10082,Approved
E4000,HR,Internet,48119,Approved
E7394,Sales,Travel,41757,Pending
E4168,Sales,Internet,1098,Rejected
E4776,Sales,Training,14112,Rejected
E9182,HR,Travel,38456,Approved
E8348,Sales,Meals,4456,Approved
E7926,Sales,Internet,8843,Pending
E9549,IT,Training,8641,Pending
E9388,HR,Meals,17198,Pending
E5522,Sales,Travel,7411,Pending
E1272,HR,Travel,35675,Rejected
E2779,Finance,Training,21666,Pending
E4653,IT,Travel,14848,Approved
E1027,HR,Training,16957,Pending
E5036,Sales,Training,24470,Approved
E7707,Operations,Internet,2586,Approved
E5166,Sales,Travel,5980,Rejected
E8416,HR,Internet,4775,Approved
E8228,Operations,Training,41173,Approved
E6484,HR,Training,19155,Pending
E9818,HR,Training,19478,Rejected
E6491,Sales,Training,29663,Rejected
E4645,Finance,Meals,49620,Rejected
E4325,Operations,Meals,34034,Approved
E4362,HR,Training,12861,Approved
E5922,IT,Training,21759,Pending
E6882,Finance,Travel,31965,Pending
E1512,Finance,Meals,1232,Rejected
E3611,Operations,Meals,34823,Rejected
E7262,IT,Travel,2171,Approved
E7836,IT,Internet,16230,Pending
E5362,IT,Travel,2607,Rejected
E6643,Sales,Travel,40484,Approved
E2074,IT,Training,3904,Rejected
E9020,HR,Travel,12666,Pending
E9654,IT,Training,35015,Rejected
E9051,IT,Travel,39984,Pending
E8610,HR,Training,31614,Pending
E1393,IT,Meals,28646,Approved
E5236,Operations,Internet,45625,Approved
E7241,Sales,Travel,9984,Rejected
E2415,HR,Internet,43381,Pending
E7502,IT,Meals,47512,Rejected
E7451,Operations,Internet,33528,Approved
E3201,Sales,Meals,1793,Approved
E2950,IT,Training,33575,Rejected
E8759,IT,Training,25740,Pending
E3547,Sales,Internet,14662,Pending
E3872,Finance,Meals,12129,Approved
E8713,IT,Travel,41054,Approved
E2674,Finance,Training,32448,Approved
E8972,Finance,Meals,8423,Pending
E5811,HR,Travel,25806,Rejected
E2202,Operations,Travel,10816,Approved
E3529,HR,Training,44823,Approved
E7775,Operations,Internet,36424,Rejected
E6260,IT,Internet,32118,Approved
E5939,IT,Internet,24808,Approved
E6881,Operations,Internet,16804,Pending
E2392,Finance,Training,22614,Approved
E3639,Sales,Meals,33321,Pending
E2326,Operations,Meals,35369,Pending
E1656,Sales,Meals,4849,Pending
E9902,Operations,Meals,27189,Pending
E9774,HR,Meals,11321,Pending
E5728,Sales,Meals,36583,Rejected
E6809,IT,Training,3370,Approved
E5455,Sales,Internet,37178,Rejected
E6931,Finance,Training,33631,Approved
E5569,Finance,Travel,32767,Pending
E4024,HR,Internet,23660,Rejected
E5744,Sales,Meals,33334,Pending
E9770,HR,Travel,32817,Approved
E6106,Operations,Travel,11157,Pending
E9076,IT,Travel,7361,Approved
E5492,Sales,Internet,3208,Pending
E9827,HR,Travel,16745,Pending
E8869,Operations,Meals,25178,Approved
E2365,Operations,Training,5123,Approved
E6588,HR,Internet,716,Pending
E6472,Sales,Training,39054,Rejected
E2615,Sales,Internet,23140,Pending
E7145,IT,Travel,44729,Approved
E7806,Operations,Training,38610,Rejected
E1798,HR,Training,17989,Rejected
E4508,Operations,Travel,35510,Approved
E9838,Operations,Meals,9266,Rejected
E8483,HR,Training,40114,Rejected
E2229,IT,Internet,24125,Rejected
E9330,Sales,Meals,23924,Approved
E5171,Finance,Internet,27935,Rejected
E5679,IT,Internet,44537,Rejected
E4824,Finance,Internet,26146,Approved
E2478,Sales,Travel,3483,Approved
E5224,HR,Internet,23556,Rejected
E9480,Finance,Meals,30252,Rejected
E9601,Operations,Meals,5930,Pending
E7248,IT,Meals,9280,Rejected
E3637,HR,Training,6975,Pending
E9725,IT,Training,2583,Rejected
E2192,Sales,Travel,42320,Approved
E3035,IT,Training,32862,Pending
E6146,Operations,Internet,15725,Approved
E9132,IT,Travel,13350,Approved
E2770,IT,Travel,11186,Approved
E5526,Finance,Meals,19437,Pending
E3524,Operations,Training,1393,Rejected
